time,heating_kw,ecs_kw,total_kw
2023-01-04 08:00:00,3935.631874852828,1881.85502283105,5817.486897683878
2023-01-04 09:00:00,3956.4546274013305,1881.85502283105,5838.309650232381
2023-01-04 10:00:00,3985.0701066353504,1881.85502283105,5866.925129466401
2023-01-04 11:00:00,3978.720202532046,1881.85502283105,5860.575225363096
2023-01-04 12:00:00,3974.5184449955536,1881.85502283105,5856.373467826604
2023-01-04 13:00:00,3965.9171183201115,1881.85502283105,5847.772141151161
2023-01-04 14:00:00,3953.78499621676,1881.85502283105,5835.640019047811
2023-01-04 15:00:00,3927.156584846824,1881.85502283105,5809.011607677874
2023-01-04 16:00:00,3889.2652897384464,1881.85502283105,5771.1203125694965
2023-01-04 17:00:00,3865.8703352810535,1881.85502283105,5747.725358112104
2023-01-04 18:00:00,3876.7885823268257,1881.85502283105,5758.643605157876
2023-01-04 19:00:00,3890.7698489266904,1881.85502283105,5772.62487175774
2023-01-04 20:00:00,3872.280714673509,0.0,3872.280714673509
2023-01-04 21:00:00,3881.3553089243733,0.0,3881.3553089243733
2023-01-04 22:00:00,3864.935758578284,0.0,3864.935758578284
2023-01-04 23:00:00,3869.762363253483,0.0,3869.762363253483
2023-01-05 00:00:00,3879.2127432750617,0.0,3879.2127432750617
2023-01-05 01:00:00,3909.7599969873236,0.0,3909.7599969873236
2023-01-05 02:00:00,3921.6385119365577,0.0,3921.6385119365577
2023-01-05 03:00:00,3965.9143122315018,0.0,3965.9143122315018
2023-01-05 04:00:00,4005.996113456989,0.0,4005.996113456989
2023-01-05 05:00:00,4054.6715289178023,0.0,4054.6715289178023
2023-01-05 06:00:00,4098.400002588178,0.0,4098.400002588178
2023-01-05 07:00:00,4126.772774060988,0.0,4126.772774060988
2023-01-05 08:00:00,4079.268495296413,1881.85502283105,5961.123518127463
2023-01-05 09:00:00,4019.9395379231682,1881.85502283105,5901.794560754219
2023-01-05 10:00:00,3910.311993217701,1881.85502283105,5792.167016048751
2023-01-05 11:00:00,3779.1182090586344,1881.85502283105,5660.973231889684
2023-01-05 12:00:00,3665.8141980627715,1881.85502283105,5547.669220893822
2023-01-05 13:00:00,3565.845964085424,1881.85502283105,5447.700986916474
2023-01-05 14:00:00,3470.1007187186187,1881.85502283105,5351.955741549669
2023-01-05 15:00:00,3400.830065849899,1881.85502283105,5282.685088680949
2023-01-05 16:00:00,3398.5168719239923,1881.85502283105,5280.371894755042
