id_unique,affect,etat,elec_annual_kwh,pv_annual_kwh,autoconsumption,autonomy
B1-70,Habitat collectif,Nouveau,97888.003,101458.5,0.7192152575041704,0.7454488698016127
A1-71,Commerce,Nouveau,83951.952,147741.0,0.4810355312876815,0.8465398211106914
A4-72,Administration,Nouveau,79310.04199999999,83671.5,0.6585125899304645,0.6947258478108846
A4-73,Administration,Nouveau,56320.034999999996,74415.0,0.5761593634416546,0.7612725920804334
A4-74,Administration,Nouveau,58079.983,61347.00000000001,0.6587497359891852,0.6958046123003953
A3-75,Habitat collectif,Nouveau,90299.977,74959.50000000001,0.8090329358539855,0.6715915814147643
A3-76,Habitat collectif,Nouveau,43281.935,37570.50000000001,0.7822324707872981,0.6790099620942129
A3-77,Administration,Existant,469224.023,478071.00000000006,0.6725323203581509,0.6852125704696531
A3-78,Habitat collectif,Nouveau,75426.013,112348.50000000001,0.5598471408368552,0.8339031058463799
A4-80,Administration,Nouveau,44000.018,46464.0,0.6586019779442014,0.6954834041931387
A4-81,Habitat collectif,Nouveau,29951.989999999998,29766.000000000004,0.7215570900849473,0.7170765062177353
B2-82,Habitat collectif,Nouveau,44220.013999999996,38296.50000000001,0.7810207918204559,0.676398762649693
B3-83,Habitat collectif,Nouveau,69983.956,50094.00000000001,0.8561785137308445,0.6128462710343628
B3-84,Habitat collectif,Nouveau,43679.986999999994,36300.0,0.8049434569018452,0.6689435939057625
B3-85,Ecole,Nouveau,11121.025000000001,39204.0,0.2350106873562268,0.828463112627974
B3-86,Habitat collectif,Nouveau,136359.96899999998,113074.5,0.8108739383156992,0.6724052946805711
B3-87,Habitat collectif,Nouveau,78400.035,46464.0,0.9248759215078971,0.5481303014334487
B3-88,Administration,Nouveau,48730.049,51546.0,0.6572368100867809,0.6952163871768979
D1-93,Habitat collectif,Nouveau,115776.02900000001,66973.50000000001,0.9304550835705158,0.5382446960545688
B2-90,Administration,Nouveau,112769.91,124690.50000000003,0.6393250578490326,0.7069063114950151
B2-91,Administration,Nouveau,92960.073,130135.50000000003,0.5574046771458384,0.780314967725039
B3-92,Administration,Nouveau,120650.01,110352.00000000001,0.7135416336501812,0.6526377109837356
B3-93,Non chauffé,Nouveau,69888.057,193297.5,0.33958667722730596,0.9392342348470951
A3-94,Administration,Existant,163703.988,166798.50000000006,0.671425952330869,0.6841179807413151
A3-95,Non chauffé,Nouveau,63035.92999999999,203461.5,0.29570364990329195,0.9544446820218032
E1-98,Administration,Nouveau,148500.033,174240.0,0.6252671551005772,0.7336466322854256
F2-99,Habitat collectif,Nouveau,148032.011,66973.50000000001,0.9802616787521817,0.4434956675817182
F1-100,Administration,Nouveau,126126.013,102366.0,0.7613540408845203,0.6179277842484785
F2-101,Habitat collectif,Nouveau,65123.974,37570.50000000001,0.9279343616378602,0.5353321640647303
F2-103,Administration,Nouveau,77616.02900000001,58624.5,0.7813025951352665,0.5901290568280352
F1-104,Administration,Nouveau,91212.032,80223.00000000001,0.7278168309974905,0.6401310041323461
F2-106,Administration,Nouveau,66815.996,66973.50000000001,0.6765988439088413,0.6781937767197064
F2-107,Ecole,Nouveau,11880.011,62799.00000000001,0.16808019567402774,0.8884897672344975
F2-108,Habitat collectif,Nouveau,30149.983,26136.000000000004,0.7780708571388024,0.6744832964642051
G1-109,Installation sportive,Nouveau,29210.992000000002,86938.50000000001,0.3115920689624271,0.9273682690231804
G1-110,Habitat collectif,Nouveau,148032.01299999998,66973.50000000001,0.980530516540087,0.44361729073762945
G1-111,Administration,Nouveau,95039.969,66973.50000000001,0.8101616304135857,0.5709109601509266
G1-112,Administration,Nouveau,74800.043,46464.0,0.8518592933996905,0.5291546451186294
G1-113,Administration,Nouveau,98559.95799999998,64977.0,0.8296197243972545,0.5469381473575752
G1-114,Habitat collectif,Nouveau,157824.03999999998,66973.50000000001,0.9846971197035511,0.4178616422850778
F2-115,Habitat collectif,Nouveau,141696.028,66973.50000000001,0.9722367621381245,0.45953369129766786
F2-116,Administration,Nouveau,64152.022,37570.50000000001,0.8637212426449593,0.5058365728019056
G1-117,Habitat collectif,Nouveau,92339.999,37570.50000000001,0.9888013552559506,0.4023149417366108
G1-118,Habitat collectif,Nouveau,70632.026,37570.50000000001,0.9490866912570571,0.5048370201624016
F2-119,Habitat collectif,Nouveau,148031.979,66973.50000000001,0.9800287906301118,0.44339039883582054
A3-120,Administration,Nouveau,128376.04699999999,207091.50000000003,0.5038936891901704,0.812862698092941
D1-125,Habitat collectif,Nouveau,96768.02,66973.50000000001,0.8772764993512756,0.6071662686629598
G2-122,Habitat collectif,Nouveau,72575.979,37570.50000000001,0.9567162927490236,0.4952645485736706
D1-127,Habitat collectif,Nouveau,112896.023,58624.5,0.9576196679822964,0.4972714957871291
H3-124,Habitat collectif,Nouveau,91803.013,50094.00000000001,0.946750542368761,0.5166118204575781
H3-125,Administration,Nouveau,57023.951,37570.50000000001,0.8234817438885556,0.5425548443454047
H3-126,Administration,Nouveau,176715.01,109807.50000000001,0.8523262959877547,0.5296200913927762
H3-127,Non chauffé,Nouveau,73920.01999999999,204369.00000000003,0.34009023754180967,0.9402581568049105
G2-128,Administration,Nouveau,169763.08800000002,77863.5,0.9380926058304426,0.4302653449263285
D2-129,Non chauffé,Nouveau,89334.001,247021.5,0.33983785162130536,0.9397010648193433
E4-130,Administration,Existant,23066.015,70422.0,0.3017018497837712,0.9211147944485744
E4-131,Industries,Existant,133630.037,93472.50000000001,0.8092919478205235,0.5660893560379235
H3-132,Administration,Existant,75771.986,115797.00000000001,0.5236422263596708,0.8002456064141014
F2-133,Commerce,Existant,452298.06,217074.0,0.9371579903299492,0.4497756050355011
F2-134,Non chauffé,Existant,970899.925,423984.0,0.9756314046166771,0.4260501981756742
E2-135,Ecole,Existant,225600.00400000002,136488.00000000003,0.6005882583169153,0.3633558898392535
E2-136,Ecole,Existant,397824.022,240669.00000000003,0.6320053443889178,0.38234014493156093
E2-137,Ecole,Existant,169120.023,87664.5,0.6649775942643452,0.34469560302972935
E2-138,Ecole,Existant,303551.961,183678.00000000006,0.6181947034632226,0.37406698467257743
E1-139,Administration,Nouveau,52359.966,138303.0,0.3449669433764845,0.9111916377065243
C3-141,Habitat collectif,Existant,393363.00299999997,99462.0,1.0,0.252850418675495
C2-142,Habitat collectif,Existant,99602.987,32488.5,0.9972454159631267,0.32528148675418783
C2-143,Habitat collectif,Existant,118319.994,33759.0,0.999492656771298,0.28517473217537725
C2-145,Habitat collectif,Existant,27947.929,15972.000000000002,0.9184978598387202,0.5249135926080262
