edge,mass_flow_kg_h
"('nappe_ste_marguerite', 'connection_nappe_ste_marguerite')",23750.0
"((2594138.3, 1119501.4), 'connection_G1-111')",4625.0
"((2594138.3, 1119501.4), 'connection_E2-137')",4625.0
"((2594138.3, 1119501.4), 'connection_E2-138')",9980.0
"((2594047.4, 1119480.0), 'connection_F2-103')",4625.0
"((2594047.4, 1119480.0), 'connection_E2-135')",4625.0
"((2594047.4, 1119480.0), 'connection_E2-138')",4625.0
"((2594613.9, 1119706.4), 'connection_cad')",253250.0
"((2594569.3, 1119620.5), 'connection_H4-12')",9980.0
"((2594569.3, 1119620.5), 'connection_E4-130')",9980.0
"((2594518.7, 1119591.2), (2594518.7, 1119591.2))",291500.0
"((2594518.7, 1119591.2), 'connection_E4-4')",4625.0
"((2594518.7, 1119591.2), 'connection_H4-31')",9980.0
"((2594518.7, 1119591.2), 'connection_E4-254')",9980.0
"((2594331.1, 1119546.9), (2594375.1, 1119468.7))",16100.0
"((2594331.1, 1119546.9), 'connection_E2-5')",4625.0
"((2594331.1, 1119546.9), 'connection_G1-112')",9980.0
"((2593768.0, 1119465.8), (2593753.3, 1119516.9))",4625.0
"((2593768.0, 1119465.8), (2593768.0, 1119465.8))",23750.0
"((2593768.0, 1119465.8), 'connection_C2-143')",4625.0
"((2593768.0, 1119465.8), 'connection_C2-147')",4625.0
"((2593886.1, 1119441.9), (2593890.6, 1119399.2))",4625.0
"((2593886.1, 1119441.9), 'connection_E1-139')",9980.0
"((2593886.1, 1119441.9), 'connection_C3-141')",16100.0
"((2593781.9, 1119417.3), 'connection_C2-145')",4625.0
"((2593781.9, 1119417.3), 'connection_C3-146')",9980.0
"((2594224.7, 1119521.8), 'connection_G1-113')",4625.0
"((2594224.7, 1119521.8), 'connection_E2-136')",4625.0
"((2594224.7, 1119521.8), 'connection_E2-137')",4625.0
"((2593960.9, 1119459.5), 'connection_E1-139')",9980.0
"((2593960.9, 1119459.5), 'connection_E1-202')",4625.0
"((2593960.9, 1119459.5), 'connection_F1-224')",4625.0
"((2594313.4, 1119422.7), (2594313.4, 1119422.7))",291500.0
"((2594313.4, 1119422.7), 'connection_H3-8')",4625.0
"((2594313.4, 1119422.7), 'connection_G2-36')",4625.0
"((2594313.4, 1119422.7), 'connection_G2-122')",4625.0
"((2594175.6, 1119319.8), (2594138.3, 1119292.6))",4625.0
"((2594175.6, 1119319.8), 'connection_H3-126')",4625.0
"((2594138.3, 1119292.6), (2594138.3, 1119292.6))",253250.0
"((2594138.3, 1119292.6), (2594139.8, 1119360.9))",62000.0
"((2594138.3, 1119292.6), 'connection_H2-19')",81125.0
"((2594138.3, 1119292.6), 'connection_F4-67')",23750.0
"((2594017.7, 1119204.6), 'connection_H2-16')",16100.0
"((2594017.7, 1119204.6), 'connection_F3-56')",16100.0
"((2593980.7, 1119183.5), (2593991.2, 1119156.5))",35225.0
"((2593980.7, 1119183.5), 'connection_F3-49')",46700.0
"((2593980.7, 1119183.5), 'connection_F3-56')",16100.0
"((2594494.5, 1119557.8), 'connection_H4-31')",4625.0
"((2594494.5, 1119557.8), 'connection_H4-32')",4625.0
"((2594443.2, 1119519.5), 'connection_H4-27')",4625.0
"((2594443.2, 1119519.5), 'connection_G2-248')",4625.0
"((2594443.2, 1119519.5), 'connection_G2-249')",4625.0
"((2594375.1, 1119468.7), (2594374.8, 1119468.4))",16100.0
"((2594375.1, 1119468.7), 'connection_G2-250')",4625.0
"((2594374.8, 1119468.4), 'connection_H3-25')",16100.0
"((2594374.8, 1119468.4), 'connection_G2-54')",4625.0
"((2593908.6, 1119142.1), (2593905.8, 1119140.5))",23750.0
"((2593908.6, 1119142.1), 'connection_H1-33')",46700.0
"((2593908.6, 1119142.1), 'connection_D2-231')",35225.0
"((2593905.8, 1119140.5), 'connection_D2-227')",23750.0
"((2593809.3, 1119093.9), (2593722.6, 1119052.0))",9980.0
"((2593809.3, 1119093.9), 'connection_D3-37')",16100.0
"((2593809.3, 1119093.9), 'connection_D2-235')",9980.0
"((2593722.6, 1119052.0), (2593610.4, 1119023.6))",16100.0
"((2593610.4, 1119023.6), (2593590.2, 1119103.0))",4625.0
"((2593610.4, 1119023.6), 'connection_B4-242')",9980.0
"((2593487.3, 1118992.4), (2593462.0, 1118986.0))",4625.0
"((2593487.3, 1118992.4), 'connection_B4-39')",9980.0
"((2593487.3, 1118992.4), 'connection_B4-242')",4625.0
"((2593462.0, 1118986.0), 'connection_B3-92')",4625.0
"((2593380.9, 1118966.2), 'connection_B3-83')",4625.0
"((2593380.9, 1118966.2), 'connection_B2-90')",4625.0
"((2593380.9, 1118966.2), 'connection_B3-92')",4625.0
"((2593312.2, 1118949.4), 'connection_B2-82')",4625.0
"((2593312.2, 1118949.4), 'connection_B2-90')",9980.0
"((2593312.2, 1118949.4), 'connection_B2-91')",9980.0
"((2593273.5, 1118939.9), (2593250.4, 1118938.6))",9980.0
"((2593273.5, 1118939.9), 'connection_B2-91')",9980.0
"((2593250.4, 1118938.6), (2593184.2, 1118934.7))",4625.0
"((2593250.4, 1118938.6), 'connection_B2-59')",4625.0
"((2593120.7, 1118931.1), (2593071.5, 1118928.2))",4625.0
"((2593120.7, 1118931.1), 'connection_B1-61')",4625.0
"((2593120.7, 1118931.1), 'connection_B1-62')",9980.0
"((2593184.2, 1118934.7), 'connection_B1-50')",4625.0
"((2593184.2, 1118934.7), 'connection_B1-61')",4625.0
"((2594480.4, 1119471.3), 'connection_H4-26')",4625.0
"((2594436.2, 1119392.4), 'connection_nappe_ste_marguerite')",4625.0
"((2594365.2, 1119353.3), 'connection_H3-6')",81125.0
"((2594153.9, 1119267.4), 'connection_H2-3')",9980.0
"((2594153.9, 1119267.4), 'connection_H2-19')",81125.0
"((2594153.9, 1119267.4), 'connection_H2-21')",100250.0
"((2594184.9, 1119217.0), (2594184.9, 1119217.0))",9980.0
"((2594184.9, 1119217.0), 'connection_H2-21')",100250.0
"((2594184.9, 1119217.0), 'connection_H2-22')",46700.0
"((2594184.9, 1119217.0), 'connection_rhone')",138500.0
"((2593991.2, 1119156.5), 'connection_H2-17')",35225.0
"((2594213.0, 1119298.3), 'connection_H2-10')",9980.0
"((2594213.0, 1119298.3), 'connection_H2-13')",9980.0
"((2594276.8, 1119345.0), 'connection_H2-11')",4625.0
"((2594276.8, 1119345.0), 'connection_H3-125')",4625.0
"((2594300.9, 1119312.9), 'connection_H3-132')",81125.0
"((2594166.6, 1119383.3), (2594139.8, 1119360.9))",16100.0
"((2594166.6, 1119383.3), 'connection_G1-114')",4625.0
"((2594166.6, 1119383.3), 'connection_F2-116')",9980.0
"((2594139.8, 1119360.9), 'connection_F2-108')",35225.0
"((2594081.5, 1119348.3), (2594081.5, 1119348.3))",23750.0
"((2594081.5, 1119348.3), 'connection_F2-101')",35225.0
"((2594081.5, 1119348.3), 'connection_F2-108')",35225.0
"((2594081.5, 1119348.3), 'connection_F2-115')",9980.0
"((2594241.0, 1119445.7), 'connection_G1-114')",4625.0
"((2594241.0, 1119445.7), 'connection_G1-117')",4625.0
"((2593964.6, 1119323.0), (2593870.1, 1119302.6))",23750.0
"((2593964.6, 1119323.0), 'connection_F1-104')",9980.0
"((2593964.6, 1119323.0), 'connection_F2-106')",35225.0
"((2593870.1, 1119302.6), (2593869.8, 1119301.1))",16100.0
"((2593870.1, 1119302.6), 'connection_F1-100')",4625.0
"((2593869.8, 1119301.1), (2593869.4, 1119299.1))",9980.0
"((2593869.8, 1119301.1), 'connection_C2-219')",23750.0
"((2593869.4, 1119299.1), (2593870.4, 1119291.4))",9980.0
"((2593870.4, 1119291.4), 'connection_D1-1')",4625.0
"((2593870.4, 1119291.4), 'connection_D1-0')",9980.0
"((2593879.9, 1119220.8), (2593881.5, 1119216.3))",16100.0
"((2593879.9, 1119220.8), 'connection_F3-162')",16100.0
"((2593881.5, 1119216.3), 'connection_D2-228')",9980.0
"((2593881.5, 1119216.3), 'connection_D2-230')",23750.0
"((2593890.6, 1119399.2), 'connection_F1-100')",4625.0
"((2593533.3, 1119325.5), (2593533.3, 1119325.5))",62000.0
"((2593533.3, 1119325.5), 'connection_C1-1')",4625.0
"((2593533.3, 1119325.5), 'connection_A4-73')",4625.0
"((2593533.3, 1119325.5), 'connection_A4-74')",4625.0
"((2593509.3, 1119419.2), (2593509.3, 1119419.2))",176750.0
"((2593509.3, 1119419.2), (2593517.4, 1119420.6))",9980.0
"((2593509.3, 1119419.2), 'connection_A4-74')",4625.0
"((2593509.3, 1119419.2), 'connection_A4-153')",4625.0
"((2593590.2, 1119103.0), 'connection_D1-125')",4625.0
"((2593590.2, 1119103.0), 'connection_B4-155')",9980.0
"((2593590.2, 1119103.0), 'connection_D1-171')",4625.0
"((2593560.1, 1119220.5), (2593560.1, 1119220.5))",35225.0
"((2593560.1, 1119220.5), 'connection_A4-152')",4625.0
